timestamp,cpu,mem,disk,process_info
2025-10-01 15:40:42,38.1,54.6,77.9,0|System Idle Process|189.1|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.30859375;12944|MsMpEng.exe|0.0|252.94921875;15420|Code.exe|0.0|304.90234375;15660|chrome.exe|18.2|494.1953125;20208|python3.11.exe|97.1|121.09765625
2025-10-01 15:40:45,80.9,55.0,77.9,0|System Idle Process|222.4|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.30859375;7580|OneDrive.exe|23.5|132.609375;11620|dwm.exe|63.6|61.3828125;11732|Code.exe|25.8|135.4765625;12944|MsMpEng.exe|0.0|252.8046875;15420|Code.exe|120.5|307.71875;15660|chrome.exe|20.6|520.77734375;20208|python3.11.exe|50.0|120.84375
2025-10-01 15:40:46,55.1,55.1,77.9,0|System Idle Process|69.4|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.30859375;2924|Code.exe|50.8|137.21484375;11620|dwm.exe|24.1|61.3828125;12944|MsMpEng.exe|0.0|252.72265625;15420|Code.exe|38.9|306.16015625;15660|chrome.exe|133.5|538.63671875;20208|python3.11.exe|96.2|120.84375;20976|msedge.exe|52.8|209.65234375
2025-10-01 15:40:47,64.4,55.2,77.9,0|System Idle Process|76.6|0.0078125;260|Code.exe|0.0|531.78515625;1792|MemCompression|0.0|419.18359375;12944|MsMpEng.exe|5.6|253.890625;15420|Code.exe|54.3|309.48828125;15660|chrome.exe|23.9|538.83984375;20208|python3.11.exe|77.6|120.8515625;20976|msedge.exe|3.2|209.97265625
2025-10-01 15:40:49,92.7,55.2,77.9,0|System Idle Process|144.6|0.0078125;260|Code.exe|0.0|535.41796875;1792|MemCompression|0.0|419.078125;12944|MsMpEng.exe|0.0|254.07421875;15420|Code.exe|52.4|312.79296875;15660|chrome.exe|0.0|538.83984375;20208|python3.11.exe|89.8|120.84765625;20976|msedge.exe|0.0|211.83984375
2025-10-01 15:40:51,39.8,55.2,77.9,0|System Idle Process|41.8|0.0078125;260|Code.exe|33.3|570.703125;1792|MemCompression|0.0|419.078125;2924|Code.exe|55.3|144.0546875;11620|dwm.exe|45.3|61.3828125;12944|MsMpEng.exe|0.0|254.03515625;15420|Code.exe|83.4|310.4765625;15660|chrome.exe|0.0|538.83984375;20208|python3.11.exe|66.6|120.81640625;20976|msedge.exe|0.0|211.8359375
2025-10-01 15:40:52,39.4,55.0,77.9,0|System Idle Process|90.2|0.0078125;4|System|22.5|0.140625;260|Code.exe|2.4|570.703125;1792|MemCompression|0.0|419.078125;2924|Code.exe|38.4|143.21484375;11620|dwm.exe|35.0|61.3828125;12944|MsMpEng.exe|0.0|254.03515625;15420|Code.exe|38.5|310.40625;15660|chrome.exe|0.0|538.83984375;20208|python3.11.exe|87.5|120.8203125;20976|msedge.exe|7.5|211.8359375
2025-10-01 15:40:54,65.9,55.6,77.9,0|System Idle Process|238.8|0.0078125;260|Code.exe|0.0|570.703125;1792|MemCompression|1.4|419.078125;11620|dwm.exe|37.9|61.3828125;12944|MsMpEng.exe|2.3|254.14453125;15420|Code.exe|85.3|308.375;15660|chrome.exe|0.0|538.83984375;20208|python3.11.exe|56.4|120.828125;20976|msedge.exe|4.3|212.09765625
2025-10-01 15:40:56,44.4,55.7,77.9,0|System Idle Process|100.0|0.0078125;260|Code.exe|0.0|570.765625;1792|MemCompression|0.0|419.078125;2924|Code.exe|23.3|150.4453125;12944|MsMpEng.exe|0.0|254.16796875;15420|Code.exe|7.4|309.13671875;15660|chrome.exe|33.3|535.1484375;20208|python3.11.exe|96.0|121.0859375;20976|msedge.exe|7.7|212.09765625
2025-10-01 15:40:58,50.0,55.7,77.9,0|System Idle Process|34.1|0.0078125;260|Code.exe|0.0|570.765625;1792|MemCompression|0.0|419.078125;8596|chrome.exe|68.9|149.13671875;11420|chrome.exe|73.3|159.49609375;11620|dwm.exe|55.6|61.3828125;12944|MsMpEng.exe|0.0|254.16796875;15420|Code.exe|0.0|309.25;15660|chrome.exe|45.4|535.84765625;20208|python3.11.exe|48.9|120.84765625;20976|msedge.exe|0.0|212.09765625
2025-10-01 15:40:59,36.9,55.7,77.9,0|System Idle Process|111.6|0.0078125;260|Code.exe|0.0|570.765625;1792|MemCompression|0.0|419.078125;8596|chrome.exe|43.7|149.12890625;11420|chrome.exe|36.3|159.51171875;11620|dwm.exe|32.1|61.3828125;12944|MsMpEng.exe|0.0|254.16796875;15420|Code.exe|0.0|309.25;15660|chrome.exe|33.9|535.87109375;20208|python3.11.exe|61.8|120.8515625;20976|msedge.exe|5.5|212.09765625
2025-10-01 15:41:01,52.1,55.6,77.9,0|System Idle Process|189.1|0.0078125;260|Code.exe|0.0|570.765625;1792|MemCompression|0.0|419.0703125;12944|MsMpEng.exe|4.0|254.16796875;15420|Code.exe|0.0|307.515625;15660|chrome.exe|34.8|535.36328125;20208|python3.11.exe|100.1|121.11328125;20976|msedge.exe|0.0|212.09765625
2025-10-01 15:41:02,57.1,55.7,77.9,0|System Idle Process|212.5|0.0078125;260|Code.exe|0.0|570.765625;1792|MemCompression|0.0|418.8203125;11620|dwm.exe|25.0|61.3828125;12944|MsMpEng.exe|0.0|254.2578125;15420|Code.exe|48.8|308.76953125;15660|chrome.exe|4.7|535.3203125;20208|python3.11.exe|69.1|120.83203125;20976|msedge.exe|9.8|212.5859375
2025-10-01 15:41:05,46.6,55.6,77.9,0|System Idle Process|105.9|0.0078125;260|Code.exe|20.0|570.95703125;1792|MemCompression|0.0|418.8203125;11620|dwm.exe|53.8|61.3828125;12944|MsMpEng.exe|0.0|254.2734375;15420|Code.exe|72.0|313.1796875;15660|chrome.exe|0.0|535.3203125;20208|python3.11.exe|42.8|120.84765625;20976|msedge.exe|2.0|212.6484375
2025-10-01 15:41:05,74.8,55.6,77.9,0|System Idle Process|75.4|0.0078125;260|Code.exe|95.5|581.1171875;1792|MemCompression|0.0|418.8203125;2924|Code.exe|51.9|147.2421875;12944|MsMpEng.exe|0.0|254.30859375;15420|Code.exe|95.1|313.74609375;15660|chrome.exe|0.0|535.3203125;20208|python3.11.exe|90.3|120.84765625
2025-10-01 15:41:07,55.6,56.1,77.9,0|System Idle Process|210.9|0.0078125;260|Code.exe|3.2|581.89453125;1792|MemCompression|0.0|418.8203125;2924|Code.exe|28.9|147.09765625;11620|dwm.exe|44.7|61.3828125;12944|MsMpEng.exe|2.4|262.94140625;15420|Code.exe|83.9|314.6484375;15660|chrome.exe|0.0|535.3203125;20208|python3.11.exe|56.0|120.8671875
2025-10-01 15:41:09,51.7,56.1,77.9,0|System Idle Process|93.3|0.0078125;260|Code.exe|6.7|603.3828125;1792|MemCompression|0.0|418.8203125;2924|Code.exe|21.4|138.66796875;12944|MsMpEng.exe|0.0|262.9765625;15420|Code.exe|6.2|309.640625;15660|chrome.exe|0.0|535.546875;20208|python3.11.exe|99.7|121.125
